"area_code","area_name","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A4200","A5101","A5102","A9101","A9201","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","I510120","I5102","I5103"
"R01100","札幌市","1973395","918682","1054713","1933094","897727","1035367","215366","110196","105170","1185724","566874","618850","541242","224966","316276","10352","23843","110212","99469","7908","3558","86","10594","201","5341","87431","106","3114","45295","51","40838","172","1433","1183"
"R01202","函館市","251084","113965","137119","248208","112718","135490","23560","11984","11576","134953","64971","69982","89257","35342","53915","947","4466","7225","7774","734","376","11","774","40","726","8835","22","433","5234","14","5974","26","197","121"
"R01203","小樽市","111299","50136","61163","109971","49441","60530","9169","4678","4491","55643","26790","28853","45426","18009","27417","348","2122","2664","3135","245","132","11","452","17","330","3550","13","227","2077","7","2665","11","76","74"
"R01204","旭川市","329306","152108","177198","325287","150318","174969","34691","17797","16894","178060","85575","92485","112411","46768","65643","1565","5165","8717","9477","1068","557","26","1719","52","1199","13572","27","640","7436","13","8093","33","225","170"
"R01205","室蘭市","82383","40390","41993","81658","39960","41698","7769","3916","3853","43398","23259","20139","30330","12565","17765","343","1441","2460","3137","237","121","8","620","9","226","2859","8","144","1558","6","2415","6","50","39"
"R01206","釧路市","165077","77506","87571","163026","76789","86237","16634","8495","8139","90595","44886","45709","56355","23465","32890","644","2628","4589","5883","464","322","24","1459","25","576","5708","15","316","3275","8","3679","15","78","82"
"R01207","帯広市","166536","79623","86913","165759","79211","86548","19073","9762","9311","96804","48097","48707","49000","20616","28384","902","2171","6208","6773","668","296","11","1065","25","607","6975","13","328","3768","8","4817","17","111","93"
"R01208","北見市","115480","54729","60751","114601","54346","60255","12014","6170","5844","63217","31713","31504","38841","16230","22611","549","1789","3378","3854","355","214","7","432","22","471","4683","13","277","2551","8","2663","12","65","49"
"R01209","夕張市","7334","3381","3953","7247","3373","3874","411","199","212","3093","1609","1484","3828","1571","2257","10","177","129","232","19","8","0","0","1","19","129","1","18","85","1","59","0","5","4"
"R01210","岩見沢市","79306","37105","42201","79031","36970","42061","7859","3961","3898","42391","21004","21387","28880","12062","16818","312","1317","2208","2535","203","82","5","484","14","286","3041","9","179","1762","4","1889","5","60","46"
"R01211","網走市","35759","18060","17699","35429","17962","17467","3731","1932","1799","20405","11042","9363","11259","4818","6441","143","481","1314","1706","116","62","2","125","9","167","1316","6","102","779","2","822","3","18","14"
"R01212","留萌市","20114","9649","10465","19940","9610","10330","1711","885","826","9981","5234","4747","7425","3002","4423","83","360","707","1024","56","25","2","100","5","95","642","2","43","371","1","436","2","16","11"
"R01213","苫小牧市","170113","83522","86591","168873","82739","86134","20426","10593","9833","96847","49324","47523","50022","21637","28385","891","2199","5292","5375","633","357","7","827","22","600","8046","14","357","4320","7","3624","10","93","73"
"R01214","稚内市","33563","16651","16912","33083","16509","16574","3484","1806","1678","18920","10016","8904","11025","4739","6286","128","475","1068","1495","93","48","4","177","10","151","1268","6","91","658","2","729","3","16","10"
"R01215","美唄市","20413","9565","10848","20343","9527","10816","1539","813","726","10169","5143","5026","8642","3575","5067","42","430","428","626","47","29","2","84","2","50","551","2","35","318","2","420","3","11","13"
"R01216","芦別市","12555","5762","6793","12536","5758","6778","845","435","410","5705","2854","2851","5995","2464","3531","32","323","260","349","22","15","1","85","2","38","293","1","19","177","1","119","2","4","8"
"R01217","江別市","121056","57523","63533","119589","56702","62887","13400","6786","6614","69555","34012","35543","36783","15876","20907","575","1484","4289","4029","232","161","5","588","17","431","5842","9","262","3481","5","3672","5","69","64"
"R01218","赤平市","9698","4388","5310","9631","4355","5276","603","299","304","4280","2139","2141","4669","1878","2791","30","241","184","281","13","11","1","21","1","32","219","1","19","145","0","0","2","3","4"
"R01219","紋別市","21215","9901","11314","20674","9803","10871","1971","992","979","11515","5782","5733","7697","3104","4593","81","363","580","869","68","30","1","38","5","101","705","3","52","395","1","380","3","9","9"
"R01220","士別市","17858","8416","9442","17756","8349","9407","1652","855","797","8803","4490","4313","7350","3044","4306","59","279","382","623","46","22","3","109","6","91","559","4","66","361","2","317","1","12","8"
"R01221","名寄市","27282","13322","13960","27014","13167","13847","3018","1561","1457","15232","7893","7339","8747","3682","5065","140","348","992","1384","87","47","3","264","6","121","1098","3","61","535","2","397","4","10","15"
"R01222","三笠市","8040","3631","4409","8025","3621","4404","655","315","340","3566","1845","1721","3819","1471","2348","32","186","264","282","18","9","0","0","2","32","248","2","27","124","1","99","2","4","3"
"R01223","根室市","24636","11762","12874","24249","11666","12583","2396","1217","1179","13370","6832","6538","8648","3550","5098","103","393","597","964","82","49","2","137","4","91","731","2","45","367","1","454","1","7","7"
"R01224","千歳市","97950","49790","48160","97223","49450","47773","13012","6681","6331","62066","32906","29160","22690","10088","12602","657","970","5203","5684","503","185","8","977","18","382","5146","9","190","2621","3","1422","5","57","41"
"R01225","滝川市","39490","18832","20658","39013","18548","20465","3995","2104","1891","21161","10702","10459","13821","5682","8139","164","627","1417","1766","124","68","2","203","6","138","1412","3","81","862","3","1336","4","23","20"
"R01226","砂川市","16486","7607","8879","16450","7588","8862","1388","682","706","8138","3985","4153","6404","2640","3764","55","332","533","623","52","18","1","61","5","76","536","1","29","304","1","167","1","7","8"
"R01227","歌志内市","2989","1399","1590","2979","1393","1586","142","80","62","1252","659","593","1592","658","934","14","82","67","88","4","2","0","0","0","0","0","0","0","0","0","0","1","3","1"
"R01228","深川市","20039","9362","10677","19927","9311","10616","1634","853","781","9802","4981","4821","8544","3482","5062","70","365","543","721","50","14","2","61","6","91","670","2","35","335","2","319","3","13","11"
"R01229","富良野市","21131","9947","11184","20825","9818","11007","2211","1126","1085","11512","5645","5867","7255","3073","4182","110","313","656","864","60","31","4","259","6","103","784","3","52","461","2","518","2","11","13"
"R01230","登別市","46391","22146","24245","46118","22023","24095","4775","2480","2295","24170","12215","11955","17287","7373","9914","166","744","1343","1684","123","71","4","396","8","152","1784","5","89","842","1","317","6","18","17"
"R01231","恵庭市","70331","34088","36243","69840","33832","36008","8701","4476","4225","41413","20687","20726","19673","8560","11113","354","872","3049","2831","196","111","5","659","8","236","3581","5","144","1893","3","1837","5","34","36"
"R01233","伊達市","32826","15176","17650","32644","15144","17500","3355","1714","1641","16832","8168","8664","12601","5268","7333","149","591","921","1104","71","51","2","171","5","110","1223","3","63","703","1","556","2","27","18"
"R01234","北広島市","58171","27763","30408","57695","27517","30178","6395","3267","3128","32140","15829","16311","19380","8514","10866","235","751","2065","2057","135","107","4","357","9","200","2647","8","164","1738","3","2277","5","34","29"
"R01235","石狩市","56869","27324","29545","56418","27146","29272","6821","3502","3319","30645","15273","15372","19402","8549","10853","254","775","1569","1656","105","117","0","0","9","214","2849","6","138","1481","2","1713","4","26","23"
"R01236","北斗市","44302","20542","23760","44002","20505","23497","5444","2808","2636","25434","12184","13250","13332","5541","7791","186","665","1126","1529","104","98","4","272","11","183","1951","5","103","1109","3","521","0","25","15"
"R01303","当別町","15916","7703","8213","15739","7612","8127","1178","589","589","8983","4509","4474","5553","2482","3071","53","228","577","625","26","10","0","0","1","17","212","1","18","137","1","179","0","15","6"
"R01304","新篠津村","3044","1484","1560","3035","1477","1558","300","160","140","1591","852","739","1142","467","675","12","68","67","92","5","3","0","0","1","14","128","1","13","53","0","0","0","3","1"
"R01331","松前町","6260","2805","3455","6218","2800","3418","377","187","190","2611","1272","1339","3266","1343","1923","12","166","155","218","7","7","0","0","3","24","123","1","15","73","1","50","1","3","3"
"R01332","福島町","3794","1755","2039","3758","1753","2005","228","103","125","1711","871","840","1851","778","1073","9","88","93","99","2","0","1","10","2","17","95","1","14","37","1","47","0","3","2"
"R01333","知内町","4167","2060","2107","4104","2052","2052","357","176","181","2160","1156","1004","1649","727","922","15","58","76","143","9","2","0","0","2","22","120","1","16","82","1","129","0","4","2"
"R01334","木古内町","3832","1750","2082","3807","1745","2062","232","113","119","1678","831","847","1908","793","1115","10","105","96","125","7","2","0","0","1","16","81","1","14","65","0","0","1","3","0"
"R01337","七飯町","27686","12679","15007","27574","12661","14913","3215","1637","1578","14743","6996","7747","9719","4040","5679","126","439","823","913","80","51","1","161","4","94","1236","2","48","613","1","284","2","16","9"
"R01343","鹿部町","3760","1779","1981","3646","1756","1890","342","176","166","1901","919","982","1517","684","833","11","45","80","111","9","6","1","42","1","17","115","1","14","84","0","0","0","2","1"
"R01345","森町","14338","6658","7680","14000","6590","7410","1364","682","682","7403","3659","3744","5532","2289","3243","34","275","269","459","27","17","2","51","5","53","468","2","37","293","1","73","2","8","6"
"R01346","八雲町","15826","7894","7932","15526","7746","7780","1591","831","760","8504","4600","3904","5534","2311","3223","66","256","559","665","50","26","1","35","7","86","552","4","55","317","1","192","2","5","7"
"R01347","長万部町","5109","2448","2661","4932","2394","2538","415","200","215","2507","1337","1170","2088","854","1234","22","113","138","216","11","8","0","0","1","17","149","1","11","94","1","39","1","2","2"
"R01361","江差町","7428","3569","3859","7406","3555","3851","589","295","294","3950","2097","1853","2846","1145","1701","27","136","305","394","21","8","0","0","3","45","197","2","27","115","1","179","2","4","3"
"R01362","上ノ国町","4306","1965","2341","4255","1944","2311","388","197","191","2047","986","1061","1868","779","1089","15","104","90","145","6","2","0","0","2","25","147","1","16","86","1","51","0","3","2"
"R01363","厚沢部町","3592","1717","1875","3562","1711","1851","339","181","158","1713","882","831","1540","654","886","6","69","67","125","4","6","0","0","3","34","131","1","15","87","0","0","1","1","1"
"R01364","乙部町","3403","1538","1865","3386","1537","1849","284","142","142","1567","746","821","1552","650","902","7","68","60","107","8","2","0","0","2","19","87","1","16","67","0","0","1","1","1"
"R01367","奥尻町","2410","1280","1130","2402","1276","1126","163","86","77","1250","774","476","997","420","577","8","35","129","216","11","0","2","24","2","21","70","1","15","36","1","53","1","3","0"
"R01370","今金町","5072","2446","2626","5068","2444","2624","468","236","232","2515","1334","1181","2089","876","1213","20","102","110","195","9","5","0","0","2","27","176","1","13","106","0","0","1","4","1"
"R01371","せたな町","7398","3466","3932","7368","3462","3906","587","298","289","3323","1706","1617","3482","1459","2023","22","168","164","232","12","7","0","0","3","36","202","3","42","130","1","163","2","5","4"
"R01391","島牧村","1356","687","669","1354","686","668","112","58","54","680","396","284","564","233","331","6","22","23","42","4","0","0","0","1","10","48","1","13","16","0","0","0","1","0"
"R01392","寿都町","2838","1397","1441","2784","1394","1390","258","139","119","1411","749","662","1167","508","659","12","64","89","126","4","3","0","0","2","22","106","1","14","60","1","70","0","2","2"
"R01393","黒松内町","2791","1353","1438","2775","1348","1427","304","163","141","1385","758","627","1102","432","670","17","77","108","186","9","3","0","0","2","30","105","2","21","72","0","0","0","4","1"
"R01394","蘭越町","4568","2197","2371","4530","2175","2355","453","229","224","2285","1180","1105","1828","786","1042","12","79","159","191","13","4","1","13","2","29","200","1","15","95","1","44","1","3","2"
"R01395","ニセコ町","5074","2624","2450","4799","2445","2354","619","339","280","2797","1484","1313","1307","595","712","25","49","257","285","11","8","1","16","2","34","286","1","15","144","1","88","0","2","2"
"R01396","真狩村","2045","1035","1010","2008","1006","1002","242","131","111","1098","602","496","705","302","403","17","26","74","90","5","1","0","0","1","14","77","1","13","41","1","59","0","3","1"
"R01397","留寿都村","1911","971","940","1798","923","875","234","115","119","1184","638","546","493","218","275","9","24","91","110","4","2","0","0","1","12","80","1","12","46","1","46","0","2","1"
"R01398","喜茂別町","2156","1112","1044","2093","1093","1000","177","92","85","1044","560","484","805","366","439","10","38","80","105","7","2","0","0","2","14","62","1","11","34","0","0","0","2","2"
"R01399","京極町","2941","1420","1521","2887","1410","1477","297","158","139","1446","733","713","1114","483","631","15","48","108","105","3","4","0","0","1","21","109","1","11","69","0","0","0","2","2"
"R01400","倶知安町","15129","7787","7342","14257","7301","6956","1941","999","942","9096","4995","4101","3731","1611","2120","103","170","992","1161","77","26","2","151","5","81","755","1","30","379","2","433","1","10","8"
"R01401","共和町","5772","3047","2725","5763","3044","2719","650","340","310","3273","1884","1389","1826","800","1026","31","77","233","293","22","8","2","21","3","38","233","1","16","128","0","0","0","4","3"
"R01402","岩内町","11648","5500","6148","11599","5477","6122","1106","574","532","6157","3149","3008","4364","1757","2607","42","233","417","437","42","14","2","62","2","40","393","2","33","252","1","193","1","10","7"
"R01403","泊村","1569","784","785","1566","784","782","147","80","67","797","461","336","625","243","382","6","32","68","78","6","1","0","0","1","12","44","1","14","31","0","0","0","3","1"
"R01404","神恵内村","870","400","470","869","399","470","65","28","37","357","195","162","448","177","271","0","20","19","20","1","0","0","0","1","8","20","1","11","13","0","0","0","1","1"
"R01405","積丹町","1831","855","976","1827","851","976","148","81","67","823","427","396","859","346","513","4","60","47","73","0","2","0","0","4","22","56","1","14","31","0","0","0","2","1"
"R01406","古平町","2745","1307","1438","2692","1301","1391","207","111","96","1297","659","638","1154","492","662","5","56","48","63","6","2","0","0","1","17","82","1","12","44","0","0","0","1","2"
"R01407","仁木町","3180","1526","1654","3113","1504","1609","344","178","166","1554","803","751","1282","545","737","13","67","122","101","7","5","0","0","2","23","137","2","28","87","0","0","0","3","2"
"R01408","余市町","18000","8342","9658","17863","8301","9562","1667","839","828","9020","4528","4492","7260","2943","4317","66","376","583","611","35","24","3","190","4","66","659","3","45","347","2","266","1","15","12"
"R01409","赤井川村","1165","606","559","1105","573","532","131","66","65","673","384","289","361","156","205","4","14","58","53","3","2","0","0","2","16","42","1","11","29","0","0","0","1","0"
"R01423","南幌町","7319","3461","3858","7273","3458","3815","693","357","336","4057","1981","2076","2555","1117","1438","38","112","423","224","8","16","1","208","1","28","336","1","18","153","0","0","1","2","5"
"R01424","奈井江町","5120","2405","2715","5091","2389","2702","439","233","206","2490","1268","1222","2189","902","1287","21","100","143","174","11","7","0","0","1","19","179","1","13","93","1","24","1","3","3"
"R01425","上砂川町","2841","1292","1549","2824","1281","1543","182","96","86","1201","613","588","1458","583","875","2","71","64","103","3","5","0","0","1","11","68","1","13","37","0","0","0","4","1"
"R01427","由仁町","4822","2302","2520","4798","2292","2506","401","219","182","2324","1202","1122","2044","851","1193","18","97","104","161","6","5","0","0","1","23","185","1","15","90","0","0","0","6","4"
"R01428","長沼町","10289","4919","5370","10239","4889","5350","1010","520","490","5280","2701","2579","3969","1678","2291","37","189","249","255","26","11","1","50","2","43","446","1","23","251","1","111","1","7","4"
"R01429","栗山町","11272","5176","6096","11233","5152","6081","1083","491","592","5528","2769","2759","4636","1894","2742","42","213","321","402","23","7","0","0","3","47","408","1","24","255","1","121","1","8","8"
"R01430","月形町","3691","2185","1506","3678","2174","1504","214","113","101","2064","1439","625","1376","610","766","11","64","142","169","6","3","0","0","1","16","80","1","11","45","1","36","1","4","2"
"R01431","浦臼町","1732","845","887","1724","843","881","173","83","90","781","417","364","777","344","433","7","38","40","52","2","1","0","0","1","14","55","1","14","43","0","0","0","3","1"
"R01432","新十津川町","6484","2976","3508","6465","2968","3497","719","355","364","3099","1535","1564","2666","1086","1580","26","121","141","160","9","11","1","125","1","26","336","1","18","153","1","96","1","2","3"
"R01433","妹背牛町","2693","1290","1403","2650","1256","1394","217","111","106","1207","638","569","1269","541","728","4","71","53","78","4","1","0","0","1","16","71","1","15","59","0","0","0","1","2"
"R01434","秩父別町","2329","1072","1257","2326","1071","1255","229","104","125","1093","544","549","985","411","574","10","45","66","81","10","0","0","0","1","14","100","1","13","37","0","0","0","2","1"
"R01436","雨竜町","2389","1165","1224","2380","1164","1216","194","101","93","1186","634","552","1009","430","579","8","46","39","71","5","0","0","0","1","14","84","1","15","53","0","0","1","1","1"
"R01437","北竜町","1724","823","901","1718","820","898","162","77","85","787","403","384","775","343","432","4","30","45","48","3","3","0","0","1","14","61","1","13","35","0","0","0","2","1"
"R01438","沼田町","2909","1392","1517","2903","1387","1516","257","122","135","1412","735","677","1240","535","705","13","55","107","108","9","1","0","0","1","17","98","1","12","43","0","0","0","3","2"
"R01452","鷹栖町","6567","3105","3462","6564","3102","3462","804","435","369","3491","1679","1812","2272","991","1281","29","103","183","217","12","11","0","0","2","39","298","1","19","164","1","83","0","2","2"
"R01453","東神楽町","10127","4702","5425","10084","4682","5402","1545","795","750","5638","2664","2974","2929","1232","1697","41","136","324","333","12","17","1","62","3","64","646","1","31","337","0","0","0","4","4"
"R01454","当麻町","6319","2912","3407","6309","2906","3403","649","308","341","3011","1480","1531","2659","1124","1535","29","110","172","179","15","6","1","44","2","33","272","1","18","160","0","0","0","4","2"
"R01455","比布町","3520","1662","1858","3517","1662","1855","353","174","179","1706","871","835","1461","617","844","13","67","84","80","6","2","0","0","0","0","0","0","0","0","0","0","0","3","1"
"R01456","愛別町","2605","1215","1390","2565","1213","1352","221","125","96","1178","585","593","1206","505","701","11","63","68","100","2","3","0","0","1","18","89","1","14","41","0","0","0","2","1"
"R01457","上川町","3500","1708","1792","3452","1688","1764","263","133","130","1687","931","756","1550","644","906","11","78","129","146","6","6","2","25","1","18","88","1","15","48","1","66","0","3","2"
"R01458","東川町","8314","3877","4437","8048","3771","4277","1085","547","538","4469","2162","2307","2759","1168","1591","43","133","454","300","13","19","0","0","4","69","518","1","22","242","1","184","0","3","3"
"R01459","美瑛町","9668","4495","5173","9582","4459","5123","927","430","497","4992","2479","2513","3749","1586","2163","35","154","314","325","31","10","0","0","6","84","372","2","40","238","1","50","1","3","4"
"R01460","上富良野町","10348","5363","4985","10266","5330","4936","1195","642","553","5741","3210","2531","3314","1446","1868","63","127","455","684","45","21","0","0","3","58","442","1","23","256","1","69","1","4","5"
"R01461","中富良野町","4733","2260","2473","4699","2255","2444","594","295","299","2406","1199","1207","1731","764","967","28","75","150","191","5","6","0","0","3","32","197","1","19","126","0","0","1","1","2"
"R01462","南富良野町","2376","1228","1148","2358","1218","1140","250","123","127","1355","772","583","766","328","438","6","37","90","125","5","2","0","0","2","27","114","1","14","38","1","49","0","6","1"
"R01463","占冠村","1306","653","653","1161","572","589","100","46","54","847","432","415","305","142","163","1","13","97","135","2","3","0","0","1","8","30","1","7","9","0","0","0","2","3"
"R01464","和寒町","3192","1497","1695","3170","1482","1688","308","170","138","1470","743","727","1414","584","830","5","59","64","110","1","6","0","0","1","16","109","1","14","71","0","0","0","4","2"
"R01465","剣淵町","2926","1425","1501","2925","1425","1500","279","161","118","1451","749","702","1196","515","681","13","55","57","117","4","0","0","0","1","16","91","1","14","59","1","57","0","3","1"
"R01468","下川町","3126","1491","1635","3100","1479","1621","316","160","156","1514","789","725","1257","523","734","16","63","94","155","4","8","0","0","1","17","114","1","15","58","1","88","1","1","0"
"R01469","美深町","4145","2038","2107","4110","2021","2089","369","197","172","2075","1095","980","1699","744","955","18","84","131","180","6","3","0","0","2","25","124","2","23","86","1","70","1","2","1"
"R01470","音威子府村","706","365","341","705","364","341","44","22","22","432","238","194","208","97","111","2","16","68","100","4","1","1","7","1","5","11","1","7","7","1","110","0","1","0"
"R01471","中川町","1528","805","723","1495","786","709","140","73","67","770","456","314","593","264","329","4","25","67","79","6","1","0","0","1","11","55","1","15","35","0","0","0","2","1"
"R01472","幌加内町","1370","681","689","1368","680","688","120","68","52","691","370","321","559","243","316","3","19","53","70","0","1","0","0","2","17","42","1","14","24","1","44","0","4","1"
"R01481","増毛町","3908","1776","2132","3828","1752","2076","323","172","151","1857","937","920","1728","667","1061","6","105","75","112","6","9","0","0","1","18","118","1","14","73","0","0","0","5","1"
"R01482","小平町","2994","1431","1563","2927","1411","1516","265","146","119","1527","790","737","1201","494","707","7","52","47","105","2","3","2","47","2","24","105","1","13","45","0","0","0","3","2"
"R01483","苫前町","2936","1428","1508","2910","1418","1492","285","153","132","1463","769","694","1186","505","681","8","74","82","106","7","1","0","0","2","26","106","1","16","62","1","39","0","3","2"
"R01484","羽幌町","6548","3163","3385","6526","3150","3376","619","337","282","3096","1680","1416","2832","1145","1687","13","126","212","309","16","11","1","19","3","33","202","3","26","145","2","152","2","3","3"
"R01485","初山別村","1080","518","562","1072","512","560","90","46","44","569","285","284","421","187","234","4","19","32","65","3","1","0","0","1","8","44","1","11","20","0","0","0","4","1"
"R01486","遠別町","2520","1222","1298","2460","1201","1259","248","129","119","1238","658","580","1034","435","599","9","48","53","113","1","2","0","0","1","15","93","1","14","50","1","56","1","1","1"
"R01487","天塩町","2950","1478","1472","2912","1459","1453","300","152","148","1545","848","697","1097","472","625","12","42","106","182","6","7","0","0","2","24","106","1","16","56","1","84","1","1","2"
"R01511","猿払村","2611","1285","1326","2450","1250","1200","366","183","183","1622","832","790","615","264","351","24","31","64","92","8","1","0","0","4","35","148","1","15","64","0","0","1","3","1"
"R01512","浜頓別町","3448","1675","1773","3367","1665","1702","312","151","161","1831","968","863","1293","544","749","17","51","112","171","11","4","0","0","1","18","121","1","13","52","1","87","1","3","1"
"R01513","中頓別町","1637","818","819","1633","816","817","160","80","80","822","459","363","655","279","376","10","33","65","85","3","4","0","0","1","14","54","1","14","33","0","0","1","2","1"
"R01514","枝幸町","7565","3600","3965","7435","3588","3847","790","389","401","4078","2079","1999","2696","1132","1564","36","152","178","312","14","5","0","0","7","66","259","3","44","145","1","123","1","3","4"
"R01516","豊富町","3974","2098","1876","3932","2086","1846","388","218","170","2114","1172","942","1357","613","744","9","60","127","154","8","3","0","0","2","26","139","2","22","90","1","47","0","3","1"
"R01517","礼文町","2509","1284","1225","2481","1280","1201","259","133","126","1340","727","613","910","424","486","13","26","108","145","5","5","0","0","3","23","80","2","23","51","1","52","0","3","2"
"R01518","利尻町","2004","994","1010","2003","993","1010","185","94","91","1010","543","467","809","357","452","7","35","87","106","5","1","0","0","2","18","71","1","16","34","1","60","1","1","2"
"R01519","利尻富士町","2458","1188","1270","2447","1187","1260","252","138","114","1265","657","608","941","393","548","7","41","114","129","4","2","0","0","2","20","85","2","22","53","0","0","0","4","2"
"R01520","幌延町","2371","1290","1081","2343","1275","1068","274","136","138","1416","849","567","681","305","376","12","31","103","152","7","6","0","0","2","23","102","2","17","55","0","0","0","4","1"
"R01543","美幌町","18697","9063","9634","18609","9051","9558","1928","990","938","10043","5189","4854","6713","2872","3841","76","330","457","735","67","25","1","70","3","77","671","2","40","419","1","179","2","7","10"
"R01544","津別町","4373","2096","2277","4363","2093","2270","365","179","186","1940","1056","884","1978","816","1162","13","92","90","127","9","4","0","0","1","24","153","1","15","81","1","63","1","1","0"
"R01545","斜里町","11418","5672","5746","11231","5611","5620","1337","687","650","6221","3307","2914","3839","1659","2180","40","192","315","438","32","12","0","0","2","48","437","1","20","244","1","85","1","3","6"
"R01546","清里町","3883","1882","2001","3879","1879","2000","453","247","206","1868","972","896","1484","628","856","9","67","102","125","12","4","1","36","1","24","182","1","15","104","1","83","0","2","1"
"R01547","小清水町","4623","2207","2416","4600","2206","2394","533","274","259","2312","1171","1141","1772","758","1014","12","79","112","135","11","3","1","0","1","27","216","1","14","109","0","0","1","1","1"
"R01549","訓子府町","4677","2241","2436","4649","2228","2421","531","270","261","2314","1167","1147","1828","800","1028","11","78","112","155","4","6","0","0","2","34","224","1","18","123","1","86","0","2","2"
"R01550","置戸町","2775","1281","1494","2770","1280","1490","270","127","143","1261","652","609","1244","502","742","10","60","90","96","4","2","0","0","1","18","110","1","13","58","1","32","1","1","1"
"R01552","佐呂間町","4875","2296","2579","4653","2267","2386","492","259","233","2458","1212","1246","1924","824","1100","22","84","104","171","12","8","0","0","3","38","149","1","19","112","1","69","0","2","2"
"R01555","遠軽町","19241","9337","9904","19172","9320","9852","1961","1020","941","9521","4972","4549","7230","3041","4189","67","325","607","824","63","21","0","0","8","102","712","7","95","452","1","499","2","14","10"
"R01559","湧別町","8270","3947","4323","8125","3913","4212","781","391","390","4243","2186","2057","3246","1370","1876","40","157","219","251","22","12","0","0","4","35","160","1","17","67","1","98","1","3","3"
"R01560","滝上町","2421","1177","1244","2396","1165","1231","202","106","96","1135","607","528","1084","464","620","12","65","66","103","7","3","0","0","1","16","73","1","15","44","0","0","0","3","1"
"R01561","興部町","3628","1768","1860","3543","1740","1803","450","231","219","1969","1040","929","1209","497","712","12","52","141","197","16","6","1","50","2","26","178","1","13","87","1","35","1","0","2"
"R01562","西興部村","1053","520","533","1025","505","520","104","56","48","576","321","255","373","143","230","4","15","47","72","0","2","0","0","1","15","34","1","12","17","0","0","0","2","1"
"R01563","雄武町","4199","1999","2200","3971","1932","2039","432","221","211","2347","1191","1156","1420","587","833","14","69","116","167","13","8","0","0","2","33","159","1","16","92","1","60","1","2","1"
"R01564","大空町","6775","3287","3488","6762","3281","3481","798","396","402","3470","1790","1680","2507","1101","1406","22","106","159","235","21","6","0","0","2","46","295","2","31","179","1","111","1","4","3"
"R01571","豊浦町","3821","1781","2040","3759","1749","2010","386","194","192","1916","960","956","1512","623","889","17","61","128","160","3","5","0","0","4","41","189","2","20","110","0","0","1","4","1"
"R01575","壮瞥町","2743","1285","1458","2717","1276","1441","227","121","106","1227","619","608","1237","516","721","11","53","89","114","4","0","0","0","2","11","85","1","14","44","1","42","1","1","1"
"R01578","白老町","16212","7706","8506","16014","7666","8348","1104","557","547","7639","3908","3731","7428","3212","4216","38","330","445","548","32","12","1","49","4","62","414","2","30","247","2","550","1","5","7"
"R01581","厚真町","4432","2249","2183","4386","2209","2177","567","302","265","2236","1207","1029","1613","728","885","24","78","159","185","14","10","0","0","2","32","219","2","29","115","1","73","0","3","2"
"R01584","洞爺湖町","8442","3909","4533","8352","3870","4482","706","361","345","4031","1981","2050","3679","1548","2131","24","177","272","325","14","12","1","37","3","44","258","2","32","132","1","48","2","8","3"
"R01585","安平町","7340","3632","3708","7267","3603","3664","754","361","393","3873","2093","1780","2712","1177","1535","23","117","343","360","19","8","0","0","1","15","111","1","13","53","1","58","0","5","4"
"R01586","むかわ町","7651","3779","3872","7509","3687","3822","707","352","355","3781","2035","1746","3122","1361","1761","29","127","232","293","15","13","0","0","2","36","277","2","29","159","2","153","1","3","4"
"R01601","日高町","11279","5712","5567","11019","5509","5510","1209","630","579","6008","3292","2716","4062","1790","2272","48","172","411","524","35","15","1","9","4","57","431","4","58","248","2","98","1","6","6"
"R01602","平取町","4776","2395","2381","4649","2318","2331","553","289","264","2537","1377","1160","1680","725","955","19","72","159","212","12","5","0","0","5","47","215","2","21","114","1","31","1","2","4"
"R01604","新冠町","5309","2603","2706","5163","2502","2661","656","316","340","2894","1538","1356","1747","741","1006","18","89","164","256","14","6","0","0","1","28","251","1","15","120","0","0","0","4","1"
"R01607","浦河町","12074","5975","6099","11818","5758","6060","1242","654","588","6735","3629","3106","4097","1692","2405","52","194","514","655","29","16","0","0","4","58","422","3","43","235","1","267","1","8","6"
"R01608","様似町","4043","1923","2120","4017","1913","2104","363","185","178","1970","984","986","1710","754","956","20","83","76","134","8","7","0","0","1","13","137","1","12","76","0","0","0","3","2"
"R01609","えりも町","4374","2230","2144","4335","2206","2129","537","271","266","2398","1334","1064","1438","624","814","15","82","109","179","20","8","1","7","4","36","199","1","13","114","1","81","0","5","2"
"R01610","新ひだか町","21517","10473","11044","21385","10394","10991","2424","1222","1202","11396","5954","5442","7608","3238","4370","86","335","764","919","76","33","1","68","3","71","887","3","47","493","2","663","3","13","10"
"R01631","音更町","43576","20630","22946","43413","20532","22881","5656","2886","2770","24865","12170","12695","12907","5474","7433","220","538","1426","1408","112","86","2","151","11","239","2152","5","116","1206","1","290","3","17","18"
"R01632","士幌町","5848","2891","2957","5758","2836","2922","734","380","354","3168","1656","1512","1938","848","1090","30","93","149","233","14","7","0","0","3","50","260","1","20","151","1","120","1","2","3"
"R01633","上士幌町","4778","2343","2435","4642","2274","2368","550","282","268","2537","1348","1189","1690","713","977","19","85","229","229","11","7","0","0","1","24","216","1","17","109","1","164","0","3","2"
