"area_code","area_name","A1101","A110101","A110102","A1102","A110201","A110202","A1301","A130101","A130102","A1302","A130201","A130202","A1303","A130301","A130302","A4101","A4200","A5101","A5102","A9101","A9201","E1101","E1501","E2101","E2401","E2501","E3101","E3401","E3501","E4101","E4501","I510120","I5102","I5103"
"R06366","鮭川村","3902","1887","2015","3876","1885","1991","380","200","180","1942","999","943","1580","688","892","19","76","45","93","4","3","0","0","1","15","161","1","13","89","0","0","0","2","0"
"R06367","戸沢村","4199","1987","2212","4139","1978","2161","367","175","192","2128","1084","1044","1704","728","976","12","87","42","93","5","3","0","0","0","0","0","0","0","0","0","0","0","3","0"
"R06381","高畠町","22463","10950","11513","22264","10863","11401","2709","1407","1302","12134","6172","5962","7597","3355","4242","105","339","376","506","56","35","1","102","6","88","1036","1","44","611","1","141","1","12","9"
"R06382","川西町","14558","7101","7457","14477","7082","7395","1497","723","774","7370","3897","3473","5682","2475","3207","45","243","215","295","31","13","3","148","5","69","561","1","23","314","1","153","2","9","4"
"R06401","小国町","7107","3573","3534","7047","3533","3514","688","338","350","3527","1956","1571","2882","1273","1609","28","149","168","233","9","10","0","0","2","28","252","2","22","165","2","129","1","3","1"
"R06402","白鷹町","12890","6357","6533","12769","6314","6455","1382","745","637","6515","3334","3181","4990","2276","2714","36","239","159","238","17","15","0","0","4","54","502","1","25","322","1","72","1","8","2"
"R06403","飯豊町","6613","3214","3399","6563","3199","3364","755","401","354","3300","1703","1597","2555","1108","1447","23","127","84","156","13","5","0","0","4","41","298","1","16","153","0","0","0","5","0"
"R06426","三川町","7601","3694","3907","7566","3680","3886","994","539","455","3929","2032","1897","2664","1115","1549","41","110","193","184","19","7","1","54","3","42","421","1","25","204","0","0","1","4","3"
"R06428","庄内町","20151","9636","10515","20041","9599","10442","2161","1103","1058","10362","5305","5057","7578","3199","4379","88","364","379","476","47","24","4","178","5","71","838","2","45","457","1","190","1","8","6"
"R06461","遊佐町","13032","6189","6843","12967","6157","6810","1210","611","599","6312","3254","3058","5507","2322","3185","32","293","173","248","20","17","0","0","1","30","452","1","23","275","1","61","1","7","5"
"R07201","福島市","282693","138190","144503","275185","134285","140900","31136","15969","15167","160024","81311","78713","84304","36593","47711","1429","3808","7199","8070","901","347","27","1983","45","844","12612","23","539","6587","15","8175","15","249","131"
"R07202","会津若松市","117376","56063","61313","114836","54958","59878","13716","7018","6698","65104","32693","32411","36307","15185","21122","597","1738","2983","3482","342","166","2","34","18","354","4934","11","239","2870","9","3842","6","100","55"
"R07203","郡山市","327692","161830","165862","320053","157931","162122","39177","20023","19154","193417","98760","94657","86479","37650","48829","1884","3863","8877","9628","1215","509","29","3699","52","1024","15770","26","645","8113","13","9600","19","233","165"
"R07204","いわき市","332931","163525","169406","324313","159711","164602","37979","19513","18466","184720","95531","89189","102319","44397","57922","1638","4708","5626","6549","1042","497","35","1953","60","1135","15287","37","697","7671","18","7094","19","242","152"
"R07205","白河市","59491","29681","29810","58275","29096","29179","6995","3555","3440","34109","17880","16229","17546","7741","9805","273","789","1675","2053","161","96","9","588","13","240","2745","7","145","1559","4","1716","2","47","35"
"R07207","須賀川市","74992","36781","38211","73901","36225","37676","9537","4845","4692","43226","22033","21193","21188","9340","11848","394","1010","1524","1871","225","117","3","189","16","260","3614","9","166","1881","3","1829","5","52","35"
"R07208","喜多方市","44760","21438","23322","44542","21372","23170","4905","2506","2399","23375","11939","11436","16479","6992","9487","209","895","842","1037","118","66","4","96","17","215","2053","7","112","1036","2","706","5","27","20"
"R07209","相馬市","34865","17536","17329","34349","17265","17084","4215","2167","2048","19325","10274","9051","10792","4716","6076","156","469","781","1008","93","61","8","229","9","147","1730","4","86","899","2","925","2","23","17"
"R07210","二本松市","53557","26305","27252","53129","26137","26992","5760","2939","2821","29073","14917","14156","18406","8244","10162","199","899","926","1257","145","48","13","218","16","214","2243","7","119","1174","2","807","3","38","19"
"R07211","田村市","35169","17320","17849","34719","17136","17583","3626","1809","1817","18763","9789","8974","12609","5613","6996","131","621","552","720","80","23","5","144","7","122","1417","6","87","784","1","225","1","31","13"
"R07212","南相馬市","59005","31015","27990","57406","29911","27495","5099","2577","2522","30626","16953","13673","20796","9335","11461","275","957","1534","1788","183","82","10","438","11","204","2102","6","118","1023","3","1011","4","39","23"
"R07213","伊達市","58240","28313","29927","57779","28144","29635","5961","2958","3003","31100","15927","15173","21008","9304","11704","229","985","1190","1377","131","67","3","6","12","222","2446","6","118","1210","2","977","1","41","20"
"R07214","本宮市","30236","15018","15218","30050","14942","15108","3881","2032","1849","17765","9196","8569","8579","3784","4795","170","380","907","860","92","40","6","240","7","129","1596","3","75","826","1","215","1","15","14"
"R07301","桑折町","11459","5491","5968","11413","5475","5938","1200","605","595","5895","2979","2916","4347","1897","2450","38","237","344","312","25","12","1","192","4","52","484","1","22","244","0","0","0","7","7"
"R07303","国見町","8639","4114","4525","8580","4105","4475","727","366","361","4268","2129","2139","3642","1618","2024","18","167","189","186","6","6","1","99","1","23","276","1","19","144","0","0","1","3","3"
"R07308","川俣町","12170","5986","6184","11984","5914","6070","940","458","482","6005","3174","2831","5096","2286","2810","48","241","198","273","21","11","1","0","2","25","328","2","23","197","1","53","1","13","5"
"R07322","大玉村","8900","4427","4473","8843","4396","4447","1322","655","667","5095","2627","2468","2455","1130","1325","60","92","336","247","30","14","2","259","2","41","582","1","22","258","0","0","0","2","1"
"R07342","鏡石町","12318","6030","6288","12268","6012","6256","1684","882","802","7187","3686","3501","3441","1462","1979","81","181","441","420","47","18","1","29","2","46","704","1","25","334","1","584","0","10","3"
"R07344","天栄村","5194","2567","2627","5138","2533","2605","530","280","250","2748","1431","1317","1916","856","1060","22","94","152","148","12","5","2","85","4","35","192","1","16","109","0","0","0","7","2"
"R07362","下郷町","5264","2602","2662","5248","2600","2648","476","244","232","2428","1285","1143","2360","1073","1287","10","127","76","157","10","5","0","0","3","31","156","1","15","111","0","0","0","4","0"
"R07364","檜枝岐村","504","259","245","504","259","245","58","32","26","252","136","116","194","91","103","3","12","15","29","2","2","0","0","1","8","31","1","9","15","0","0","0","1","0"
"R07367","只見町","4044","1976","2068","4014","1962","2052","353","191","162","1783","967","816","1907","817","1090","12","104","84","125","9","5","0","0","3","27","125","1","14","69","1","85","0","2","1"
"R07368","南会津町","14451","7116","7335","14370","7086","7284","1331","661","670","7030","3775","3255","6048","2647","3401","50","308","351","481","23","16","2","31","7","80","469","4","56","270","1","167","1","13","8"
"R07402","北塩原村","2556","1290","1266","2521","1277","1244","258","136","122","1349","725","624","948","428","520","5","47","85","112","3","1","2","33","2","19","73","2","19","55","0","0","0","4","0"
"R07405","西会津町","5770","2789","2981","5732","2782","2950","468","224","244","2582","1373","1209","2718","1190","1528","18","133","95","125","6","5","0","0","1","15","191","1","13","88","1","39","0","8","2"
"R07407","磐梯町","3322","1604","1718","3313","1599","1714","421","205","216","1655","872","783","1246","527","719","13","55","92","121","8","4","1","66","2","23","165","1","11","91","0","0","0","2","0"
"R07408","猪苗代町","13552","6533","7019","13482","6506","6976","1422","738","684","6723","3473","3250","5360","2294","3066","43","259","278","346","32","14","0","0","2","39","538","1","24","287","1","56","1","9","5"
