geocod,geoname,population_2021,sex_ratio_males_per_1000_females,pct_female_per_1000,pop_growth_2015_2021_per_1000,age_0_4_per_1000,age_5_9_per_1000,age_10_14_per_1000,age_15_19_per_1000,age_20_24_per_1000,age_25_29_per_1000,age_30_34_per_1000,age_35_39_per_1000,age_40_44_per_1000,age_45_49_per_1000,age_50_54_per_1000,age_55_59_per_1000,age_60_64_per_1000,age_65_69_per_1000,age_70_74_per_1000,age_75_79_per_1000,age_80_84_per_1000,age_85_plus_per_1000,aging_index_65plus_per_1000_of_0to14,youth_dependency_ratio_per_1000,old_age_dependency_ratio_per_1000,total_dependency_ratio_per_1000
16E0616,Tábua,11044,912.05,522.999,-45.215,34.227,38.03,41.742,47.265,48.352,46.088,49.348,50.616,65.284,71.532,69.359,72.709,71.894,70.264,64.832,61.119,44.006,53.332,2575.06,192.419,495.491,687.911
16E0617,Vila Nova de Poiares,6898,905.525,524.79,-23.499,29.429,36.532,48.42,47.695,53.929,51.464,49.145,56.683,73.79,80.893,78.284,78.863,71.615,64.366,55.523,49.87,36.677,36.822,2126.743,178.064,378.696,556.759
16E1808,Mortágua,8884,910.127,523.525,-33.507,31.742,34.782,36.92,36.583,45.25,43.224,45.25,55.718,65.849,61.346,63.597,65.398,71.139,81.833,75.191,71.027,58.982,56.168,3317.737,186.941,620.22,807.16
16F1002,Alvaiázere,6094,869.325,534.952,-86.904,25.435,33.311,35.937,37.086,46.767,41.352,43.157,41.516,52.182,59.074,60.551,83.689,77.125,78.11,78.274,62.356,61.864,82.212,3831.889,174.531,668.784,843.315
16F1003,Ansião,11576,903.947,525.225,-64.188,29.544,32.999,40.083,48.808,51.14,39.824,43.798,46.735,59.52,72.564,70.318,75.933,70.663,72.65,68.763,62.37,55.891,58.397,3099.327,177.155,549.061,726.215
16F1004,Batalha,15974,947.811,513.397,35.793,41.818,46.075,49.831,48.767,54.651,52.21,51.959,64.292,70.865,76.061,69.613,70.552,68.611,61.6,54.589,43.258,38.062,37.185,1704.091,219.451,373.965,593.416
16F1007,Castanheira de Pêra,2656,912.167,522.967,-89.163,21.461,22.967,36.898,33.886,40.663,37.651,41.416,41.792,47.063,56.476,64.759,80.572,83.961,89.608,88.855,78.69,59.864,73.419,4800.926,153.956,739.13,893.086
16F1008,Figueiró dos Vinhos,5326,893.352,528.164,-58.345,27.037,33.045,33.984,36.801,42.433,36.237,42.997,44.874,53.887,67.593,62.711,73.601,88.81,86.744,79.046,68.156,56.327,65.715,3784.431,171.048,647.32,818.368
16F1009,Leiria,132679,942.904,514.693,47.422,41.039,44.106,48.229,51.847,56.475,56.467,58.977,63.152,74.85,77.586,73.749,70.493,65.3,58.645,52.337,43.074,32.515,31.158,1632.459,205.54,335.536,541.077
16F1010,Marinha Grande,41251,963.305,509.345,74.273,38.811,42.084,47.369,52.605,54.399,55.732,55.902,60.386,77.404,82.18,71.732,66.835,63.95,60.992,59.635,44.847,33.381,31.757,1797.959,200.06,359.701,559.761
16F1013,Pedrógão Grande,3451,891.996,528.542,-48.0,24.631,29.846,31.295,43.176,44.915,38.25,39.699,51.579,45.784,58.534,72.443,75.92,91.857,89.829,64.039,64.619,57.954,75.63,4104.73,152.577,626.289,778.866
16F1015,Pombal,51365,927.392,518.836,-26.551,35.647,38.898,44.563,48.73,54.181,46.822,48.087,55.524,68.529,70.807,68.334,70.593,70.924,66.699,62.358,55.466,46.432,47.406,2337.038,197.68,461.986,659.666
16F1016,Porto de Mós,23482,946.775,513.67,-0.043,37.987,41.479,47.185,50.72,55.915,53.828,47.27,56.724,72.098,76.101,74.525,68.435,70.181,61.238,56.341,48.59,39.307,42.075,1954.607,202.382,395.577,597.958
16G0901,Aguiar da Beira,4869,901.953,525.775,-129.136,27.316,26.905,34.093,40.46,46.005,43.952,40.255,42.719,58.739,56.48,61.82,80.92,82.769,86.26,79.277,66.338,57.507,68.186,4048.837,159.377,645.293,804.67
16G1802,Carregal do Sal,8965,888.163,529.615,-47.088,34.021,37.479,42.052,48.522,46.96,45.622,46.96,55.103,63.134,64.473,59.9,70.273,70.273,73.843,77.524,59.788,53.653,50.418,2776.031,198.789,551.845,750.635
16G1803,Castro Daire,13230,889.73,529.176,-80.995,28.042,34.014,41.421,49.206,45.956,41.572,39.607,45.351,61.98,63.946,67.649,69.841,75.435,76.417,77.4,66.44,53.212,62.509,3246.896,184.601,599.38,783.981
16G1806,Mangualde,18423,928.504,518.537,-28.425,31.7,39.19,42.067,49.612,50.806,46.952,44.564,60.142,65.353,68.99,63.399,69.913,73.604,72.572,66.547,59.599,44.075,50.915,2600.192,190.376,495.014,685.39
16G1809,Nelas,13180,916.533,521.775,-19.783,32.246,39.985,45.524,50.835,49.09,40.744,44.082,55.387,71.017,70.03,62.974,63.657,72.534,76.859,68.361,56.146,49.469,51.062,2563.789,202.902,520.199,723.101
16G1810,Oliveira de Frades,9698,945.046,514.127,-8.689,38.152,41.555,46.504,51.763,56.713,50.32,57.228,65.374,66.612,73.727,68.777,69.396,67.23,59.084,57.435,49.082,39.802,41.246,1954.248,201.25,393.292,594.541
16G1811,Penalva do Castelo,7139,921.669,520.381,-55.438,27.455,37.68,40.762,48.746,43.984,37.54,37.26,49.447,67.516,67.236,61.213,62.334,72.279,78.863,77.602,66.816,55.89,67.376,3272.487,193.4,632.898,826.298
16G1814,Santa Comba Dão,10605,906.688,524.47,-37.659,33.852,33.663,43.47,48.562,47.525,44.13,45.262,50.259,65.347,68.364,62.518,62.895,71.759,74.116,77.416,67.893,48.751,54.22,2904.843,195.873,568.98,764.853
16G1816,São Pedro do Sul,15021,895.634,527.528,-44.405,28.959,33.62,39.744,48.133,51.728,46.335,40.676,46.868,59.983,67.039,64.643,70.634,74.829,76.293,76.426,64.709,49.864,59.517,3193.884,179.242,572.478,751.72
16G1817,Sátão,10779,895.042,527.693,-72.295,34.048,38.872,43.047,46.108,54.736,45.552,46.665,51.211,64.663,65.219,68.838,69.209,75.796,72.363,64.384,61.416,43.974,53.901,2552.8,197.223,503.471,700.694
16G1821,Tondela,25670,899.933,526.334,-50.595,30.425,33.658,38.917,44.059,51.266,47.448,46.747,49.591,61.2,68.446,65.797,71.445,71.718,70.316,73.159,65.797,54.499,55.512,3099.849,178.287,552.664,730.951
16G1822,Vila Nova de Paiva,4228,931.476,517.739,-131.828,33.822,32.876,43.992,45.412,53.926,46.121,43.992,44.465,56.291,67.171,62.677,71.665,78.288,74.267,70.719,60.785,49.669,63.86,2884.615,194.191,560.166,754.357
16G1823,Viseu,100584,898.241,526.803,16.534,40.305,44.709,49.859,52.016,54.88,50.803,51.509,63.648,77.746,78.869,70.628,65.657,63.986,62.207,56.082,47.86,34.508,34.727,1745.245,214.171,373.78,587.951
16G1824,Vouzela,9435,887.755,529.73,-46.392,30.737,33.916,36.566,44.939,53.206,45.893,48.331,50.874,64.335,66.773,69.528,72.496,66.985,70.058,67.409,65.925,55.432,56.598,3116.23,173.51,540.698,714.208
16H0502,Castelo Branco,54146,903.466,525.357,2.017,34.315,38.729,43.198,44.694,52.026,48.148,47.501,56.551,67.595,72.803,70.07,70.458,72.692,69.073,63.513,54.722,41.554,52.358,2419.288,192.92,466.728,659.648
16H0505,Idanha-a-Nova,8156,938.213,515.939,-87.39,27.219,29.671,36.538,35.679,42.791,33.595,39.358,39.848,53.58,55.91,57.872,65.228,72.585,71.481,79.451,74.179,76.263,108.754,4389.764,188.195,826.13,1014.325
16H0506,Oleiros,4444,909.755,523.627,-133.216,18.677,21.602,22.952,26.553,34.203,31.728,38.479,44.104,48.155,43.204,59.181,71.557,87.984,92.034,88.659,83.933,83.258,103.735,7142.349,130.334,930.891,1061.224
16H0507,Penamacor,4325,949.955,512.832,-145.257,22.428,25.896,28.208,30.751,36.994,34.913,36.994,34.682,47.861,55.029,63.121,72.37,74.682,76.301,76.994,78.613,77.457,126.705,5697.885,157.021,894.687,1051.708
16H0508,Proença-a-Nova,6886,941.906,514.958,-95.613,23.962,29.771,33.256,34.853,46.035,40.372,39.065,47.342,54.604,55.62,64.043,76.532,86.698,80.744,81.615,66.657,59.396,79.437,4228.715,159.563,674.747,834.31
16H0511,Vila Velha de Ródão,3089,917.443,521.528,-68.175,34.315,32.373,36.905,29.136,33.668,33.668,45.97,48.883,47.588,55.034,54.063,62.156,72.192,66.688,85.465,79.961,75.753,106.183,3996.875,214.765,858.389,1073.154
16I0509,Sertã,14283,912.816,522.789,-47.228,31.086,36.477,40.258,46.909,49.429,43.338,40.398,49.779,57.061,64.132,69.313,78.205,76.104,74.144,66.163,58.671,54.61,63.922,2944.805,187.622,552.51,740.132
16I0510,Vila de Rei,3058,880.689,531.72,-102.173,31.066,35.644,33.355,41.203,51.341,41.203,42.838,50.36,53.63,52.976,58.535,64.094,71.288,74.886,70.634,56.9,64.421,105.625,3722.222,189.709,706.138,895.846
16I1401,Abrantes,34630,921.327,520.474,-55.322,28.761,33.497,40.312,46.405,49.148,40.572,40.803,48.571,59.746,72.452,71.239,76.61,78.776,77.765,66.388,57.378,48.946,62.634,3052.646,175.537,535.854,711.391
16I1402,Alcanena,12662,936.678,516.348,-33.583,32.38,41.384,44.385,50.071,49.676,43.911,44.306,53.941,62.707,70.684,73.211,74.317,72.816,68.394,69.736,56.152,43.832,48.097,2422.46,198.356,480.509,678.865
16I1408,Constância,3845,930.221,518.075,-19.633,38.492,39.532,47.074,59.298,49.155,43.953,41.092,55.917,69.961,78.804,78.283,76.203,72.042,67.62,57.477,45.514,41.352,38.231,2000.0,200.25,400.5,600.749
16I1410,Entroncamento,20754,902.989,525.489,38.947,42.064,50.448,55.845,54.399,53.435,49.388,52.905,64.469,70.926,75.648,76.034,77.672,64.373,50.689,46.593,41.293,37.631,36.186,1431.634,232.08,332.253,564.333
16I1411,Ferreira do Zêzere,7668,917.479,521.518,-50.638,33.385,35.081,41.732,46.688,45.253,47.47,46.035,50.861,64.293,63.38,66.51,74.465,74.204,70.814,65.467,58.685,52.295,63.38,2818.935,190.272,536.366,726.638
16I1413,Mação,6180,916.873,521.683,-93.044,21.683,25.243,30.744,34.466,42.071,38.026,37.54,37.54,47.896,55.016,65.372,74.272,83.01,74.595,75.243,73.786,70.227,113.269,5241.667,150.754,790.201,940.955
16I1417,Sardoal,3547,946.762,513.674,-50.335,27.347,27.065,38.906,41.162,49.901,42.289,43.417,48.774,71.61,70.2,63.716,80.068,84.579,80.35,65.971,53.848,44.263,66.535,3332.326,156.649,522.007,678.656
16I1418,Tomar,36379,886.095,530.196,-48.542,30.54,34.8,39.281,47.417,51.321,47.06,43.074,48.599,57.533,67.182,72.652,76.253,78.397,73.476,71.222,55.554,48.435,57.203,2923.805,177.477,518.909,696.386
16I1419,Torres Novas,34457,923.79,519.807,-24.599,34.913,39.702,45.651,48.785,51.978,43.707,45.187,56.795,66.344,72.931,68.23,73.976,72.032,67.824,63.616,54.851,44.403,49.076,2326.255,200.455,466.309,666.763
16I1420,Vila Nova da Barquinha,7107,895.2,527.649,3.247,41.227,45.026,46.574,46.011,51.076,39.82,48.825,61.207,66.554,70.072,67.82,70.635,67.68,61.348,62.614,56.001,48.122,49.388,2088.983,225.245,470.532,695.777
16I1421,Ourém,44002,897.701,526.953,-16.583,38.589,42.044,46.384,49.793,57.384,52.998,52.043,59.088,69.179,68.861,70.383,73.178,67.929,63.133,54.111,46.68,41.816,46.407,1985.149,204.59,406.142,610.733
16J0501,Belmonte,6018,899.621,526.421,-64.947,30.575,35.892,39.714,38.385,44.367,42.373,41.708,56.331,59.322,66.467,62.978,71.286,88.734,82.087,57.827,61.815,49.186,70.954,3031.299,185.648,562.754,748.402
16J0503,Covilhã,47585,905.458,524.808,-25.556,30.976,33.561,40.097,45.371,54.324,46.59,48.65,51.55,65.357,68.299,70.505,70.8,74.687,78.428,69.833,56.699,43.816,50.457,2859.811,175.521,501.956,677.477
16J0504,Fundão,26229,927.186,518.891,-44.376,31.606,33.513,38.926,43.54,46.208,43.73,44.607,54.71,61.611,65.004,64.852,72.325,79.568,76.633,67.178,59.629,51.393,64.966,3073.653,180.585,555.056,735.641
16J0902,Almeida,5641,898.687,526.68,-146.983,16.132,23.4,23.577,29.073,44.673,35.809,37.405,42.014,49.459,46.091,67.187,75.696,88.991,81.369,89.523,82.255,77.823,89.523,6662.921,122.211,814.281,936.492
16J0903,Celorico da Beira,6463,898.649,526.69,-83.522,27.387,32.028,38.063,47.192,41.622,39.92,40.538,49.977,60.962,65.449,62.51,70.555,81.232,77.363,70.865,63.129,57.868,73.341,3514.286,174.081,611.771,785.852
16J0904,Figueira de Castelo Rodrigo,5062,892.336,528.447,-120.417,30.225,36.349,39.905,39.905,38.72,34.176,44.646,49.19,53.339,53.339,60.055,69.735,74.279,77.835,78.23,71.513,70.13,78.427,3532.468,205.804,726.995,932.799
16J0905,Fornos de Algodres,4153,871.564,534.313,-133.528,30.34,31.784,31.543,44.305,42.861,40.934,41.897,50.325,49.603,64.532,63.328,74.645,80.665,74.886,67.421,71.996,65.013,73.922,3771.208,169.351,638.659,808.01
