county_name,state_fips,county_fips,median_home_value_usd
"Bibb County, Georgia",13,021,155200
"Bleckley County, Georgia",13,023,121600
"Brantley County, Georgia",13,025,91900
"Brooks County, Georgia",13,027,128400
"Bryan County, Georgia",13,029,276100
"Bulloch County, Georgia",13,031,172500
"Burke County, Georgia",13,033,98300
"Butts County, Georgia",13,035,200000
"Calhoun County, Georgia",13,037,77100
"Camden County, Georgia",13,039,213400
"Candler County, Georgia",13,043,141500
"Carroll County, Georgia",13,045,196900
"Catoosa County, Georgia",13,047,191200
"Charlton County, Georgia",13,049,107500
"Chatham County, Georgia",13,051,256400
"Chattahoochee County, Georgia",13,053,129300
"Chattooga County, Georgia",13,055,86400
"Cherokee County, Georgia",13,057,358400
"Clarke County, Georgia",13,059,242600
"Clay County, Georgia",13,061,81200
"Clayton County, Georgia",13,063,167200
"Clinch County, Georgia",13,065,73900
"Cobb County, Georgia",13,067,346000
"Coffee County, Georgia",13,069,122500
"Colquitt County, Georgia",13,071,113900
"Columbia County, Georgia",13,073,259000
"Cook County, Georgia",13,075,113600
"Coweta County, Georgia",13,077,291900
"Crawford County, Georgia",13,079,149400
"Crisp County, Georgia",13,081,106900
"Dade County, Georgia",13,083,157900
"Dawson County, Georgia",13,085,312600
"Decatur County, Georgia",13,087,140800
"DeKalb County, Georgia",13,089,301100
"Dodge County, Georgia",13,091,104600
"Dooly County, Georgia",13,093,94500
"Dougherty County, Georgia",13,095,119100
"Douglas County, Georgia",13,097,227800
"Early County, Georgia",13,099,126500
"Echols County, Georgia",13,101,114900
"Effingham County, Georgia",13,103,219000
"Elbert County, Georgia",13,105,104500
"Emanuel County, Georgia",13,107,87500
"Evans County, Georgia",13,109,130500
"Fannin County, Georgia",13,111,260100
"Fayette County, Georgia",13,113,369700
"Floyd County, Georgia",13,115,174000
"Forsyth County, Georgia",13,117,451100
"Franklin County, Georgia",13,119,146700
"Fulton County, Georgia",13,121,398300
"Gilmer County, Georgia",13,123,259700
"Glascock County, Georgia",13,125,117300
"Glynn County, Georgia",13,127,238000
"Gordon County, Georgia",13,129,179100
"Grady County, Georgia",13,131,147000
"Greene County, Georgia",13,133,308000
"Gwinnett County, Georgia",13,135,307300
"Habersham County, Georgia",13,137,188800
"Hall County, Georgia",13,139,277900
"Hancock County, Georgia",13,141,93500
"Haralson County, Georgia",13,143,187700
"Harris County, Georgia",13,145,273200
"Hart County, Georgia",13,147,180500
"Heard County, Georgia",13,149,134900
"Henry County, Georgia",13,151,245200
"Houston County, Georgia",13,153,189500
"Irwin County, Georgia",13,155,94700
"Jackson County, Georgia",13,157,280600
"Jasper County, Georgia",13,159,184000
"Jeff Davis County, Georgia",13,161,106800
"Jefferson County, Georgia",13,163,90900
"Jenkins County, Georgia",13,165,81800
"Johnson County, Georgia",13,167,81300
"Jones County, Georgia",13,169,159500
