geo_code,geo_name,pct_married,pct_single,pct_widowed,pct_divorced,women_per1000,mean_income_ksek,median_income_ksek,unemployment_rate,labour_force_participation_rate,employment_rate,pct_tertiary_edu,pct_basic_edu
0114,Upplands Väsby,33.14786479343441,52.75321423603522,3.185422172763945,10.913498797766428,495.35997456431454,365.9,343.7,5.8,81.9,77.2,39.225235816049484,16.133456489489742
0115,Vallentuna,34.15814801104815,53.23329251971867,3.1435974828440445,9.464961986389135,493.77829664853783,439,397.8,3.2,83,80.4,43.2566056086886,13.632679526665587
0117,Österåker,35.549440617028544,51.55361841444554,3.3121095868399384,9.584831381685982,494.2454857693775,482.8,402.6,3.1,83,80.4,42.298684400751775,13.375740928148042
0120,Värmdö,34.19320253028841,52.90447089096172,3.2250455666345017,9.677281012115364,497.3303312962367,475.6,401.8,3.1,83.4,80.8,42.23983480610974,14.129543591145122
0123,Järfälla,33.34794828555368,53.17369308600337,3.127599775154581,10.350758853288363,492.06295671725684,366.4,344.1,6.4,81.5,76.3,43.65302363335519,15.472511004963941
0125,Ekerö,37.499135247319266,51.35939121411276,3.3206502940159117,7.8208232445520585,495.3303355240401,537.6,430.7,2.9,81.4,79,45.47868266530508,14.70002552974215
0126,Huddinge,33.37853443449048,54.27719064949608,2.601833706606943,9.742441209406495,493.78849384098544,392.8,357.1,5.6,79.9,75.4,43.997911683644354,15.717008851061765
0127,Botkyrka,34.63010270580262,51.10369636619572,2.816328658568375,11.449872269433294,487.43026953756316,321.9,308.3,8.1,79,72.7,33.637382210985976,21.530969891978856
0128,Salem,36.05414976866396,51.81356029016965,3.5585765693722506,8.57371337179414,499.2288798766208,405.2,378.4,4.4,81.9,78.3,41.66106254203093,16.316408876933423
0136,Haninge,31.105604836711432,55.47549432578423,2.8901333069032162,10.52876753060112,489.24129045046834,355.4,337.3,5.9,82.1,77.2,32.7961666459533,17.91568278166729
0138,Tyresö,32.660281827609346,53.66314890502043,3.438459505073304,10.238109762296915,501.33186929380423,441.2,387.8,4.2,82.2,78.8,41.18671620993962,15.2519739897817
0139,Upplands-Bro,33.91140318851163,53.68747718145308,2.7564804673238408,9.644639162711451,487.83010831203603,356.7,341.1,6.4,82.1,76.9,35.82011957369379,16.857291395892904
0140,Nykvarn,34.77556311780911,54.07551450332198,2.916869227029655,8.23205315183925,489.9530059957867,418.9,401.9,3.4,85.3,82.3,34.986033519553075,17.074022346368714
0160,Täby,36.51342868903066,50.719026548672566,3.4652191809014203,9.30232558139535,501.9036838855732,562.3,453.4,3.2,82,79.4,57.75990190978673,10.457382774764064
0162,Danderyd,38.81572860447186,48.783346183500385,4.02467232074017,8.376252891287587,507.7563608326908,1038.4,516.2,3.1,76.2,73.9,65.27777777777779,10.274158523344191
0163,Sollentuna,35.741523240234976,51.567814078120165,2.8779758837472946,9.812686797897557,494.0611151190353,477.1,398.4,5.2,80.8,76.6,53.41034202689288,12.701019763559247
0180,Stockholm,27.30183793469898,59.38604262465673,2.538234224678427,10.773885215965864,505.4832689483655,475.1,378.9,5.3,81.5,77.2,56.99671528226585,11.273311168706568
0181,Södertälje,34.23054872656956,52.28304068564099,3.5477257047351594,9.93868488305429,486.6632332792413,324.5,315.4,8.8,80,73,34.78133176696748,21.057830939285523
0182,Nacka,33.50399600399601,54.002247752247754,2.9747038675610105,9.519052376195233,501.6679748822606,562.2,434.1,3.6,82,79,54.6231526467072,11.44786711774731
0183,Sundbyberg,26.895191385009063,59.88733695845328,2.089775029320823,11.127696627216832,497.76095532572765,398.4,371.8,5.3,84.5,80,52.75224019550797,12.077272198300943
0184,Solna,28.256536385783726,59.59155602699647,2.5096457587802634,9.642261828439544,499.71441560106774,436.4,405.1,3.9,81.6,78.4,62.54894492267845,8.108478708006398
0186,Lidingö,34.98563366889224,50.939496041507326,3.8551377720817745,10.219732517518656,509.8083800152965,752.4,445.2,3.4,80,77.3,59.05965039837619,10.897028083250023
0187,Vaxholm,39.31652850617493,47.05633564540687,4.001015056673998,9.626120791744205,508.96633395364574,576.3,443,2.7,81.2,79,50.17085672443251,12.78984622894801
0188,Norrtälje,33.18014567845611,50.19298640835023,5.220394983855223,11.406472929338438,495.3668243598408,364.7,334.1,3.7,82,79,31.004642849358067,16.400374915535018
0191,Sigtuna,33.526635965660354,52.81331134989672,3.073890878768928,10.586161805674001,488.3165614872932,351.2,323.3,6.3,79.7,74.7,34.32043323206974,18.565579183727383
0192,Nynäshamn,33.61784231008208,50.90421531116125,4.14663658065993,11.331305798096732,491.3829752444488,353.1,337.6,5.5,80.9,76.4,30.048959608323134,18.07268618774127
0305,Håbo,33.90501893527184,53.214643276890264,3.3474078265790275,9.53292996125887,490.2276585556958,392.2,373,3.8,83.3,80.1,31.514587212911234,17.35567970204842
0319,Älvkarleby,32.56909547738693,51.235343383584585,5.067001675041876,11.1285594639866,491.10134003350083,331.1,324.9,6.4,82.9,77.5,26.177053176900806,20.08227944537559
0330,Knivsta,33.78002170528004,55.85334780352002,2.2790544047562875,8.087576086443637,493.93667720473746,420.5,381.4,3.2,84.2,81.5,46.5574212691348,13.878211612381145
0331,Heby,32.673405367723944,53.140467061693975,4.796096200766818,9.390031369815265,488.46287905193446,326.6,311.5,5.9,81.6,76.8,24.173387096774192,19.344758064516128
0360,Tierp,31.619598180439727,52.43555724033359,4.942191053828658,11.00265352539803,492.3237300985595,325.1,319,5,81.2,77.1,25.00858339627824,17.853464258737898
0380,Uppsala,29.420682536610542,58.81314108767176,2.939729694858396,8.8264466808593,509.61228307851104,352.8,323,4.8,76.6,72.9,54.65785954090128,11.544067472773426
0381,Enköping,32.75503694099731,53.586055030767014,3.918421106789323,9.740486921446358,493.5687678788253,367.4,339.6,5.2,83.3,79,32.17545939537641,16.882039122703024
0382,Östhammar,32.91173547745957,51.14734845062788,5.29858162435631,10.64233444755624,485.9065859607914,356.9,344.7,2.7,84.7,82.4,24.963396778916543,17.968853986423532
0428,Vingåker,34.308571428571426,50.88,5.051428571428572,9.76,486.74285714285713,316.8,305.9,7.1,81.1,75.4,22.860003337226765,22.47622225930252
0461,Gnesta,32.42276138942224,51.74550532379124,4.791412113806947,11.040321172979578,498.42904520858787,361.7,342.5,4.3,80.9,77.4,33.8974358974359,17.53846153846154
0480,Nyköping,32.8979843685726,51.330042506513095,4.88482106129165,10.88715206362265,504.42204853969565,353.9,333.5,6.2,81.6,76.6,34.14799217927508,16.774452298591267
0481,Oxelösund,34.02044717812318,48.00930928434877,5.85155016208129,12.118693375446762,489.65173302302384,337.3,334.9,6.5,80.3,75,26.446075382510266,17.601691752705563
0482,Flen,34.83270407499023,47.33758625179013,5.956255695872933,11.8734539773467,488.998828277568,312.4,306.6,9.5,78.6,71.2,25.730542964606034,22.007908187867685
0483,Katrineholm,32.426655735784976,51.487380687474385,4.907185102769807,11.178778473970837,498.09685541957015,326.5,314.8,7.7,80.5,74.3,28.04170021612917,20.86705937195406
0484,Eskilstuna,31.056966689365034,53.53208399018684,4.251746686193483,11.159202634254637,498.4188875311325,328.8,314.6,9.4,81,73.4,33.916032864784505,18.893269090378155
0486,Strängnäs,34.517843970187975,49.88171851550378,4.319181949991098,11.281255564317147,496.8585455192939,388.7,356.1,4.9,82.1,78,36.33541520381389,17.07749732066965
0488,Trosa,37.43551952837141,47.65860521203189,4.562202719903531,10.343672539693173,501.3063576070208,413.4,375.3,3,83.2,80.8,34.9727857496289,16.793666501731817
0509,Ödeshög,34.829100630131755,49.971357647508114,5.575711285086882,9.623830437273249,487.6837884284896,336.9,324.4,3.6,84.5,81.6,25.83474816072439,18.251273344651953
0512,Ydre,40.92664092664093,44.89795918367347,5.570876999448428,8.604522890237176,482.90126861555433,334.3,319,2.7,83.6,81.3,30.11456628477905,15.548281505728315
0513,Kinda,35.82404338656222,49.33212815104952,5.704529476750025,9.139298985638245,491.6139399417495,363.7,336.4,3.6,84.8,81.8,29.863784424045008,17.767249037607343
0560,Boxholm,35.70781221678448,49.33840855537429,5.093347833967736,9.860431393873483,484.1399311219866,345.8,332.7,5.2,84.5,80.2,26.533298236377995,17.004474861805736
0561,Åtvidaberg,36.69660765675417,48.81834830382838,5.738205284730094,8.746838754687364,492.5438214005407,355.1,326.3,3.8,83.8,80.7,28.373524884556183,17.6629040533607
0562,Finspång,34.35231004023493,50.52952874254266,5.267539194376358,9.850622022846043,484.3453729824724,338.6,326.5,6.2,82.5,77.4,28.8139017983431,17.20886374351721
0563,Valdemarsvik,36.78405315614618,46.44518272425249,5.913621262458472,10.857142857142858,485.8471760797342,317.5,306.8,5.8,81,76.3,23.589541969726753,20.011794770984864
0580,Linköping,31.163150534114912,57.19879786949148,3.454042312613444,8.184009283780165,491.1238730026483,363.5,329.5,4.9,77.6,73.8,50.710124261560395,12.678753310246485
0581,Norrköping,31.242930059318525,54.846185680783556,4.048144571665057,9.862739688232859,499.93102496896125,346.7,321.5,7.3,82.2,76.2,37.47352335264476,17.728472914027062
0582,Söderköping,35.83744675096355,49.814050983839344,4.848197984988843,9.500304280208264,497.2614781256339,371,343.6,3.5,84.2,81.3,33.69805259987954,16.27183296526802
0583,Motala,33.4536260199977,52.000919434547754,4.787955407424434,9.757499138030111,491.5756809562119,339.1,322,6,81.9,76.9,28.90017931858936,19.30331407318855
0584,Vadstena,36.88918558077437,45.23364485981308,6.582109479305741,11.295060080106808,508.6782376502003,386.8,329.8,3.7,84.4,81.4,35.20561685055166,15.165496489468405
0586,Mjölby,33.01968984143579,54.14532148457919,4.328280188186095,8.506708485798919,491.23540686530754,357.2,337.7,4.7,84.4,80.5,30.709930971935307,16.481080264019752
0604,Aneby,37.516551419744005,49.68368397822569,4.398999558628807,8.4007650434015,488.59791084301895,336.6,329.4,4,85.9,82.4,29.515229515229514,17.93221793221793
0617,Gnosjö,39.152338188588324,47.92465228343008,4.490198225824116,8.432811302157486,483.7367210601248,357.5,321,4,85.2,81.8,21.65912989240605,25.541868080461562
0642,Mullsjö,36.85804582565183,49.39425862523045,4.569396892283382,9.178298656834343,495.6544640505662,336.5,328.4,3.7,83.8,80.6,30.68450039339103,18.13532651455547
0643,Habo,39.52140309155767,51.44916765755053,3.1807372175980975,5.848692033293698,497.10166468489894,383.8,359,2.7,87.1,84.8,38.4476737636589,16.480793060718714
0662,Gislaved,37.09565938623168,49.65440973182195,4.8555432679015755,8.394387614044788,483.58446226154274,356.4,323.5,5.7,84.2,79.4,23.118226600985224,24.049261083743843
0665,Vaggeryd,37.976391231028664,50.48229342327149,4.256323777403035,7.284991568296796,486.94772344013495,359,333.6,3.3,85.1,82.3,29.50048971596474,19.167482859941234
0680,Jönköping,34.14875316618581,53.800100234331616,3.886112126999607,8.165034472482967,496.7627019924959,361.1,329,4.4,81.4,77.9,42.576269898560085,14.822765092511684
0682,Nässjö,34.56168676987368,51.61933706904739,4.631652262006521,9.187323899072403,485.8644379016684,329.3,316.4,6.7,82.5,77,29.526961798372636,19.247919827150277
0683,Värnamo,36.54970760233918,50.22870708123443,4.724682994615251,8.496902321811127,491.45967228301777,371.5,332.5,4.1,86.1,82.5,30.05674992750922,19.038150863675902
0684,Sävsjö,38.08700164317219,49.28651733979071,5.249502724206521,7.37697829283058,486.8113811294646,324.7,314.1,6.9,81.6,76.1,26.874353671147883,22.091520165460185
0685,Vetlanda,35.30587038651555,51.075268817204304,5.25283347863993,8.36602731764022,487.9395524556815,349.4,321.9,5.6,83.4,78.8,27.013458662678914,19.65926084170049
