geo_code,geo_name,women_per1000,men_per1000,born_per1000_raw,died_per1000_raw,migrants_in_per1000,moved_out_per1000,net_immigration_per1000,divorced_separated_per1000,single_80plus_per1000,single_parents_benefit_per1000,disability_benefit_per1000,immigrants_per1000,births_per1000_pop_published,deaths_per1000_pop_published,pct_divorced_separated,pct_single_80plus,pct_single_parents_benefit,pct_disability_benefit,pct_immigrant_background
3001,Halden (2020-2023),494.3478941600125,505.6521058399874,8.893064036323784,9.738531391889776,45.37341474870831,38.13997181775482,7.233442930953499,83.16893690308439,31.12572412713324,2.8182245185533112,93.00140911225928,177.2036950054799,8.9,9.7,13,58.9,0.9,15.1,17.7
3002,Moss (2020-2023),502.79533534418164,497.2046646558183,7.435015657720313,9.31778448060556,63.706749149872245,46.24310772127337,17.463641428598873,82.0349272828572,30.028241532343277,2.401490845516897,84.97435207776988,236.72936158767362,7.4,9.3,12.7,57.8,0.8,13.6,23.7
3003,Sarpsborg (2020-2023),498.18473841829655,501.8152615817035,9.26870890565659,8.800254303926653,55.17725987519031,43.56627796088404,11.610981914306269,80.52399993307792,29.244951565140287,3.128607518696358,89.64213414532131,244.31580532365194,9.3,8.8,12.4,61.2,1,14.4,24.4
3004,Fredrikstad (2020-2023),500.65704564120614,499.34295435879386,8.236536430834214,9.151707145371349,55.15663498768039,45.18362079080136,9.973014196879033,80.68755133169071,28.734013844890296,2.8628417223982163,84.97008095740937,218.77273260588996,8.2,9.2,12.4,59.1,0.9,13.6,21.9
3005,Drammen (2020-2023),500.44503143931786,499.5549685606822,9.053757883755873,7.92443079043326,59.988323906323274,49.872232909357145,10.116090996966129,78.02884569372266,27.33354388584226,2.593624087207021,68.89852326126696,313.44569180855035,9.1,7.9,11.8,58.9,0.8,10.8,31.3
3006,Kongsberg (2020-2023),493.2750970604548,506.7249029395452,8.458125346644481,8.111480865224625,104.79062673322241,103.19606211869107,1.5945646145313368,69.74486966167498,28.112867443150304,2.1838602329450914,67.07570715474209,200.08319467554077,8.5,8.1,10.8,56,0.7,10.8,20
3007,Ringerike (2020-2023),499.319210917957,500.6807890820431,8.042810550647541,10.164339317944334,54.083151261834644,47.686900351477156,6.396250910357494,78.40157056457997,32.93119280580096,2.4381748519679554,79.88980716253444,193.6290807764162,8,10.2,12.1,61.5,0.8,12.8,19.4
3011,Hvaler (2020-2023),495.50866931272196,504.49133068727804,5.849174848548151,9.81825778149154,66.63881345310216,58.28284938374765,8.355964069354501,76.4570712345937,24.441194902861916,1.2533946104031752,91.08000835596407,68.72780447044077,5.8,9.8,12.9,47.2,0.4,15.9,6.9
3012,Aremark (2020-2023),488.4929472902747,511.5070527097253,8.908685968819599,12.620638455827766,57.164068299925766,40.0890868596882,17.074981440237565,72.01187824795844,37.8619153674833,,97.25315515961395,72.75426874536006,8.9,12.6,11.6,57.3,,16.1,7.3
3013,Marker (2020-2023),490.1585565882996,509.84144341170037,8.74794969928923,10.661563696008749,45.653362493165666,38.54565336249317,7.107709130672498,65.33624931656642,44.55986878075451,1.0934937124111537,102.24166211044286,118.37069436850737,8.7,10.7,10.8,59.3,0.4,17.4,11.8
3014,Indre Østfold (2020-2023),494.06458749946813,505.93541250053187,8.530825852018891,8.722290771390886,66.24686210271028,52.92941326639152,13.317448836318768,80.67055269540059,27.230566310683745,2.616687231417266,85.37208015997957,232.26822107816022,8.5,8.7,12.4,58.3,0.8,13.7,23.2
3015,Skiptvet (2020-2023),491.7070681296249,508.29293187037507,6.889512630773156,11.737688185761675,73.99846899719316,60.98494513906609,13.013523858127074,76.29497320745088,29.344220464404184,3.0620056136769582,74.76397040061241,143.65909670834395,6.9,11.7,11.8,68.5,1,12.2,14.4
3016,Rakkestad (2020-2023),491.6864608076009,508.3135391923991,8.551068883610451,7.125890736342043,54.988123515439426,50.712589073634206,4.275534441805226,69.59619952494062,32.304038004750595,1.7814726840855108,95.72446555819478,165.2019002375297,8.6,7.1,10.9,64.3,0.6,15.5,16.5
3017,Råde (2020-2023),481.41570468095904,518.584295319041,11.924394266142333,8.245591779779273,199.2896105543575,257.5161740454142,-58.2265634910567,64.44247114042876,29.68413040720538,3.044526195610808,74.08347075986299,179.50019028288722,11.9,8.2,10.2,54,1,12.2,18
3018,Våler (Viken) (2020-2023),484.6216436126932,515.3783563873068,9.764035801464605,4.556550040683482,89.01545972335231,75.02034174125305,13.995117982099268,76.32221318144833,17.08706265256306,,75.02034174125305,194.62978030919447,9.8,4.6,11.8,51.7,,12.1,19.5
3019,Vestby (2020-2023),501.15426050377056,498.8457394962294,7.797670958805726,5.9508541527727905,73.61616990714616,54.73759811214282,18.878571795003335,74.12917457548863,19.54547786384856,2.5137228748781615,58.79033499204843,222.2849227927974,7.8,6,11.6,51,0.8,9.6,22.2
3020,Nordre Follo (2020-2023),501.40025173064816,498.5997482693518,9.156702328508496,6.419131529263688,71.44430459408433,53.44556324732536,17.99874134675897,62.96412838263059,25.739458779106357,2.092511013215859,45.390182504719945,230.1447451227187,9.2,6.4,9.8,55.7,0.7,7.3,23
3021,Ås (2020-2023),497.2960690752102,502.7039309247898,7.998182231311065,5.18064076346285,119.01840490797547,92.43353783231085,26.584867075664622,59.57736877982277,20.858895705521473,2.1813224267212,41.67234719381958,275.3465121563281,8,5.2,8.7,52.6,0.6,6.3,27.5
3022,Frogn (2020-2023),505.90987441516864,494.09012558483136,7.9413937453829115,8.4338832799803,63.90051711401133,55.03570549125831,8.864811622753017,76.08963309529672,29.795616843142085,1.539029795616843,56.75941886234918,159.87441516867767,7.9,8.4,11.9,53.3,0.5,9.2,16
3023,Nesodden (2020-2023),507.8699868427464,492.13001315725353,7.65069928366064,5.701476536231178,58.622874128941085,50.92344427659471,7.699429852346377,70.41567175088933,23.488134106525024,2.1441450221724088,55.60157887042542,172.74986599093612,7.7,5.7,11.1,57.4,0.7,9.1,17.3
3024,Bærum (2020-2023),501.21065375302663,498.78934624697337,8.944325203748827,7.042414891423072,65.26072975305719,59.310576607266974,5.9501531457902095,57.83640516036388,27.963428327006362,1.4894478349539033,31.255489951955763,246.48452119980752,8.9,7,9,57.1,0.5,5.1,24.6
3025,Asker (2020-2023),499.3573850123969,500.6426149876031,8.409654404695644,7.144664271618682,66.44740171026666,57.41031219956484,9.037089510701815,65.66816778829126,24.247330870819205,1.6900268177908213,43.343621919749026,232.85938369680716,8.4,7.1,10.2,53.1,0.5,7,23.3
3026,Aurskog-Høland (2020-2023),497.84029239118394,502.159707608816,7.863550780817366,9.24797873518662,50.61468601173995,43.0833979399712,7.531288071768746,78.96777051722229,30.34666075977406,1.9381991361169566,69.6644146638609,191.60482888470483,7.9,9.2,12.3,60.3,0.6,11.3,19.2
3027,Rælingen (2020-2023),490.0741330414449,509.9258669585551,10.34877357082442,5.572416538136226,96.3729538783024,77.56604806209263,18.806905816209763,66.7694910194537,17.861585153490225,2.2389173590725906,43.78327279964177,309.81640877655605,10.3,5.6,9.9,55.2,0.7,6.8,31
3028,Enebakk (2020-2023),483.80073157986413,516.1992684201358,8.273819892004878,6.706148754572374,67.84532311443999,61.57463856470998,6.270684549730012,70.63229402543111,18.11531092144226,2.438599547117227,66.45183765894444,245.1663473262498,8.3,6.7,10.6,55.2,0.8,10.4,24.5
3029,Lørenskog (2020-2023),495.4760521291608,504.5239478708392,10.853324479123433,5.7690711380426665,113.32696936996763,90.04316427326306,23.283805096704572,70.53623308707562,18.801361334772142,2.7600232423009876,47.21092388146427,386.75603884784596,10.9,5.8,10.4,53.9,0.8,7.2,38.7
3030,Lillestrøm (2020-2023),490.82281504442625,509.17718495557375,9.373573528943428,6.157047165104404,87.74853770129829,62.71695629558073,25.03158140571756,71.62344348786107,23.014617679217842,2.2823536905128394,49.40499570068258,327.1409008396938,9.4,6.2,10.6,56.9,0.7,7.6,32.7
3031,Nittedal (2020-2023),497.3340545552894,502.66594544471064,8.616026582180666,6.529634495015841,73.79646086082991,58.921258017154784,14.87520284367514,65.48952940267368,19.936635499574994,1.5068387296190402,47.25291708523298,235.8782165211344,8.6,6.5,9.9,53.5,0.5,7.4,23.6
3032,Gjerdrum (2020-2023),478.3725331170587,521.6274668829413,7.704785077047851,6.758583400919167,78.80508245471748,64.74722898080562,14.057853473911868,68.26169234928359,21.897810218978105,1.3517166801838334,50.68937550689376,210.73263044065962,7.7,6.8,10.2,55.7,0.4,7.9,21.1
3033,Ullensaker (2020-2023),489.6608390012325,510.3391609987675,9.449034555165015,6.002647555575843,89.08111562514264,71.07317295841511,18.00794266672753,76.43675537499429,19.24042543479253,2.944264390377505,49.07107317295842,356.5070525402839,9.4,6,11.2,60.7,0.9,7.5,35.7
3034,Nes (2020-2023),494.9482653682288,505.0517346317711,9.048488537228648,8.07466017447758,68.65489957395009,54.53438831405965,14.120511259890446,74.90363156826943,23.168999797119092,2.150537634408602,72.71251775207953,201.90708054372084,9,8.1,11.4,65,0.7,11.5,20.2
3035,Eidsvoll (2020-2023),495.8804986387735,504.1195013612265,10.280842527582749,6.985241438601519,71.39274967760424,53.983378707551225,17.40937097005302,76.0137555523714,21.206476572574868,2.7582748244734203,69.45837512537612,237.99971342599227,10.3,7,11.5,58.9,0.9,11,23.8
3036,Nannestad (2020-2023),481.33449088428625,518.6655091157137,10.728016867171027,4.960932655339203,93.51358055314398,62.87982140642441,30.633759146719584,71.2513952623093,16.619124395386333,1.302244822026541,51.59369961552772,302.43085700111624,10.7,5,10.4,56.8,0.4,7.9,30.2
